accident_hours,rainfall,wind_speed,driving_speeds,alcohol_levels,traffic_violations,lane_widths,road_conditions,mental_states,riding_skills,accident_types,falses
9,43,6,43.55219921951272,0.11527205302109014,0,2.2803446706799773,2.9103951637702323,2,3,2,0
10,69,38,45.7127769124371,0.08480828071379361,0,3.4500684571964286,2.3658727372150725,1,4,3,1
17,72,76,47.54307981851962,0.02359324085676964,0,3.781374822164689,3.4704846398432943,8,1,2,1
8,86,21,51.97931659252848,0.05555661757274863,0,3.126712192711996,3.8401897707120316,5,8,3,1
6,41,25,42.29448622216295,0.08387411356436712,0,3.591214392281181,2.2750414659493416,8,2,3,1
19,139,0,40.987267284979076,0.002036717762720914,0,2.8537807977965963,3.223167061777393,7,0,3,1
7,277,46,45.705204909787106,0.09363439715510342,0,3.46144255259747,2.1211374474214066,2,1,3,1
8,97,108,42.81012601882079,0.11372163415455197,0,4.20191673166359,2.6944760551365925,5,4,3,0
7,20,47,39.396648245805736,0.009779563841578503,0,3.4113562033518376,4.102415479262984,1,9,2,1
3,51,39,51.02053729563231,0.10777413133157944,0,3.9817029031633386,3.5204344231426603,8,4,3,1
19,26,28,50.86248328457611,0.0557332714934427,0,3.8363610807256534,3.2212915598979457,2,10,3,1
9,31,22,37.655458780300414,0.06187184605012024,0,3.971016944112953,2.1176299728576775,10,2,2,1
10,86,22,44.31838110579401,0.100812961484965,0,2.730886331611125,3.4662672836449357,10,5,3,0
9,4,22,47.88509704562475,0.07075897350791127,0,3.9189760930308677,3.133286414684744,1,3,3,1
18,89,38,54.60968770106439,0.042171090656883584,0,4.221407267789937,2.8306109057833613,0,1,3,1
16,89,43,44.68935018359717,0.08791093278343097,0,4.344553333657442,2.4836286553094937,1,3,1,1
9,159,32,49.315615301029815,0.01659925847053025,0,3.062670107327194,2.4365022040564934,4,4,2,1
6,79,47,43.15516674320515,0.07995301732886069,0,3.536837903543029,2.58129444692596,8,5,2,1
18,194,3,47.26936688041659,0.09295485334638953,0,2.840096794598122,3.324226346035487,9,0,3,1
9,69,1,49.507685916425615,0.040172363018573534,1,3.247587118422763,2.9453207915994106,5,6,3,0
21,83,105,46.744385174639305,0.11642792275208796,0,2.9011998031168074,3.03980149623284,9,0,3,0
